date,volumeto,close,bitcoin,num_tweets
2020-04-09,440132415.16,6876.49,8.48,29133.0
2020-04-10,171352839.69,6887.6,9.28,28128.0
2020-04-11,297514761.29,6913.76,8.64,22432.0
2020-04-12,426458894.19,6859.43,8.0,23749.0
2020-04-13,307409556.74,6879.44,9.12,26814.0
2020-04-14,336722796.75,6629.54,8.64,31671.0
2020-04-15,685621725.46,7114.55,8.32,28889.0
2020-04-16,324325510.78,7037.12,9.28,30583.0
2020-04-17,258251102.86,7264.29,8.32,28790.0
2020-04-18,211422409.66,7132.88,7.84,25279.0
2020-04-19,452319848.99,6842.45,7.84,25819.0
2020-04-20,305844254.34,6855.11,8.32,34822.0
2020-04-21,308254465.67,7135.41,8.32,32492.0
2020-04-22,599195847.97,7489.25,8.0,30981.0
2020-04-23,389027134.45,7509.44,9.28,35498.0
2020-04-24,227962632.37,7546.92,9.44,32567.0
2020-04-25,251857766.26,7701.35,8.64,33355.0
2020-04-26,374439201.77,7787.41,8.8,33495.0
2020-04-27,297442241.62,7760.32,9.28,39379.0
2020-04-28,1324299206.24,8784.96,8.8,41546.0
2020-04-29,1439132256.65,8637.56,13.6,48269.0
2020-04-30,620133839.66,8829.12,16.0,50532.0
2020-05-01,321429140.42,8981.11,10.8,40443.0
2020-05-02,534161419.79,8907.19,10.2,42783.0
2020-05-03,568639005.2,8881.65,10.2,43879.0
2020-05-04,538111122.64,9029.75,9.6,43373.0
2020-05-05,818515486.36,9153.2,9.8,50889.0
2020-05-06,1213223439.69,9999.93,10.8,55866.0
2020-05-07,907665361.58,9808.18,13.6,59654.0
2020-05-08,580103588.21,9541.13,14.8,53749.0
2020-05-09,1159765920.88,8735.05,13.0,42273.0
2020-05-10,1259789388.45,8568.88,16.6,41923.0
2020-05-11,580579256.62,8821.18,20.0,82838.0
2020-05-12,622255318.55,9317.44,14.6,60453.0
2020-05-13,936692997.58,9793.19,12.4,46507.0
2020-05-14,798930933.92,9311.69,12.8,48588.0
2020-05-15,348262438.61,9387.08,11.0,38102.0
2020-05-16,505834872.59,9670.56,9.6,40293.0
2020-05-17,606235218.3,9722.73,10.0,33797.0
2020-05-18,587660019.81,9780.2,10.0,38987.0
2020-05-19,593918718.08,9509.45,9.0,31927.0
2020-05-20,798218781.95,9059.11,9.0,33468.0
2020-05-21,405255700.32,9170.74,9.8,36198.0
